city,vax_rate,active,lat,long,city2
ברכה,32.55,0.0,32.19421748,35.26470002,Berakha
זכרון יעקב,62.12,NA,32.56645,34.95628,Zikhron Ya'aqov
נופית,74.04,0.0,32.76226,35.1477,Nofit
נאעורה,53.39,NA,32.61403,35.39168,Na'ura
אבו סנאן,47.94,11.2,32.9658807,35.1574879,Abu Sinan
נהריה,66.63,NA,33.00892,35.09814,Nahariyya
תל אביב - יפו,59.58,3.5,32.08088,34.78057,Tel Aviv
נעלה,47.36,0.0,31.96236,35.06553,Na'ale
רמת גן,61.35,1.4,32.08227,34.81065,Ramat Gan
הר אדר,71.69,0.0,31.82754,35.13093,Har Adar
גדרה,54.28,NA,31.81456,34.77998,Gedera
מעגן מיכאל,61.76,0.0,32.55549,34.91638,Ma'agan Mikha'el
הוד השרון,64.02,NA,32.15934,34.8932,Hod HaSharon
שפרעם,51.18,NA,32.80583,35.16895,Shefar'am
בת ים,60.44,2.6,32.02379,34.75185,Bat Yam
יהוד,64.76,NA,32.03317,34.89091,Yehud
רמת ישי,66.02,NA,32.70444,35.1707,Ramat Yishay
באר יעקב,49.58,NA,31.93864,34.83749,Be'er Ya'aqov
ערד,58.33,NA,31.25882,35.21282,Arad
קרית ים,63.83,NA,3284966,35.06973,Qiryat Yam
"כפר חב""ד",32.67,NA,31.98793,34.8516,Kefar Habad
רחובות,56.18,1.6,31.89421,34.81199,Rehovot
מבוא חורון,34.77,0.0,31.84876,35.03583,Mevo horon
גן נר,71.67,0.0,32.53106,35.3377,Gan Ner
מזכרת בתיה,65.17,NA,31.85357,34.84646,Mazkeret Batya
עפולה,55.83,NA,32.60907,35.2892,Afula
גן יבנה,60.17,NA,31.78737,34.70659,Gan Yavne
גבעת ברנר,59.70,0.0,31.86684,34.80097,Giv'at Brenner
תפרח,23.32,NA,31.32657,34.67689,Tifrah
קרית מלאכי,43.70,NA,31.72888,34.74632,Qiryat Mal'akhi
בית חשמונאי,64.50,0.0,31.88969,34.91673,Bet Hashmonay
כוכב יאיר,81.43,0.0,32.22623,35.00222,Kokhav Ya'ir
ניצן,50.79,NA,31.73854,34.62985,Nizzan
כפר יאסיף,54.53,0.0,32.95451,35.1623,Kfar Yasif
אזור,53.70,NA,32.0243,34.80632,Azor
לוד,47.20,3.7,31.9467,34.8903,Lod
